exp_name,date,refreshrate(hz),screenresolutionvert(pixels),screenresolutionhori(pixels),screenwidth(cm),eccentricity,Stim_size,left-handed,age,gender,participant,language,TrialNumber,bgori,temp,staircase,targetloc,cond,ran,order,resp,rt,acc,contrast
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,1,0,0,1,1,2,1.0,0.0,1.0,1.5633411,1.0,0.011410550312757525
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,2,0,0,2,1,2,1.0,1.0,1.0,1.598763,1.0,0.011410550312757525
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,3,0,0,2,0,2,1.0,2.0,1.0,0.5938495,0.0,0.006956757690467928
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,4,0,0,1,1,2,1.0,3.0,0.0,0.6557106,0.0,0.006956757690467928
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,5,0,0,1,0,2,1.0,4.0,0.0,0.6929591,1.0,0.019860687103523404
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,6,0,0,2,1,2,1.0,5.0,1.0,0.5379654,1.0,0.019860687103523404
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,7,0,0,1,1,2,1.0,6.0,1.0,0.5538333,1.0,0.014758915330012263
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,8,0,0,2,0,2,1.0,7.0,1.0,0.7394091,0.0,0.014758915330012263
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,9,0,0,2,0,2,1.0,8.0,0.0,0.6537417,1.0,0.03131136535299098
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,10,0,0,2,1,2,1.0,9.0,1.0,0.7577893,1.0,0.0256886996089088
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,11,0,0,1,0,2,1.0,10.0,0.0,0.5184341,1.0,0.012350670754779419
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,12,0,0,1,1,2,1.0,11.0,1.0,0.7609047,1.0,0.010132827726011519
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,13,0,0,2,1,2,1.0,12.0,1.0,0.6622664,1.0,0.02192674732684322
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,14,0,0,2,1,2,1.0,13.0,1.0,0.4227145,1.0,0.019860687103523404
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,15,0,0,1,0,2,1.0,14.0,0.0,1.0733614,1.0,0.00882183111215549
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,16,0,0,1,0,2,1.0,15.0,1.0,0.6225292,0.0,0.006177758765088165
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,17,0,0,1,1,2,1.0,16.0,1.0,0.6659237,1.0,0.009934240517826544
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,18,0,0,2,0,2,1.0,17.0,0.0,0.5272753,1.0,0.01729108913486021
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,19,0,0,1,0,2,1.0,18.0,0.0,1.0931246,1.0,0.009178056277132024
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,20,0,0,2,0,2,1.0,19.0,0.0,0.690674,1.0,0.013368248148594363
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,21,0,0,1,0,2,1.0,20.0,1.0,0.8400342,0.0,0.00864893733965554
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,22,0,0,1,1,2,1.0,21.0,1.0,0.6241417,1.0,0.010752727122835341
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,23,0,0,2,0,2,1.0,22.0,0.0,0.5841613,1.0,0.012597562826699979
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,24,0,0,2,0,2,1.0,23.0,0.0,0.5578661,1.0,0.011871307848915111
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,25,0,0,2,0,2,1.0,24.0,0.0,0.5188922,1.0,0.010752727122835341
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,26,0,0,2,0,2,1.0,25.0,0.0,0.8845821,1.0,0.009178056277132024
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,27,0,0,2,0,2,1.0,26.0,0.0,0.6047874,1.0,0.008150322339128512
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,28,0,0,1,0,2,1.0,27.0,0.0,0.4883408,1.0,0.010132827726011519
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,29,0,0,1,0,2,1.0,28.0,0.0,0.5642022,1.0,0.009739545301129157
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,30,0,0,1,0,2,1.0,29.0,0.0,0.4850515,1.0,0.009178056277132024
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,31,0,0,1,0,2,1.0,30.0,0.0,0.4980401,1.0,0.00882183111215549
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,32,0,0,1,1,2,1.0,31.0,0.0,0.5658051,0.0,0.008479432008420128
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,33,0,0,1,1,2,1.0,32.0,0.0,0.5001198,0.0,0.009548665799114418
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,34,0,0,2,1,2,1.0,33.0,0.0,0.7688244,0.0,0.005821608284521384
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,35,0,0,1,1,2,1.0,34.0,0.0,1.2904401,0.0,0.010752727122835341
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,36,0,0,1,0,2,1.0,35.0,0.0,0.5899353,1.0,0.013368248148594363
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,37,0,0,2,0,2,1.0,36.0,0.0,0.5871494,1.0,0.009361527229880708
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,38,0,0,1,1,2,1.0,37.0,1.0,0.5901243,1.0,0.012350670754779419
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,39,0,0,1,0,2,1.0,38.0,0.0,0.6054253,1.0,0.011638649212356182
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,40,0,0,1,1,2,1.0,39.0,1.0,0.7361922,1.0,0.010967676021633076
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,41,0,0,1,0,2,1.0,40.0,0.0,0.5815534,1.0,0.010541990878478093
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,42,0,0,2,1,2,1.0,41.0,0.0,0.573615,0.0,0.00882183111215549
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,43,0,0,2,0,2,1.0,42.0,0.0,0.6473561,1.0,0.011410550312757525
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,44,0,0,2,1,2,1.0,43.0,1.0,1.0974057,1.0,0.010541990878478093
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,45,0,0,1,0,2,1.0,44.0,0.0,0.6061426,1.0,0.010335384727275678
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,46,0,0,2,1,2,1.0,45.0,0.0,0.6896861,0.0,0.009934240517826544
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,47,0,0,2,1,2,1.0,46.0,1.0,0.5387994,1.0,0.0121086173723749
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,48,0,0,2,0,2,1.0,47.0,0.0,0.6172652,1.0,0.011638649212356182
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,49,0,0,1,0,2,1.0,48.0,0.0,0.5531969,1.0,0.010132827726011519
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,50,0,0,2,1,2,1.0,49.0,0.0,0.8011912,0.0,0.011186921786571522
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,51,0,0,2,0,2,1.0,50.0,1.0,1.1089498,0.0,0.012849390314387626
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,52,0,0,1,0,2,1.0,51.0,0.0,0.4781232,1.0,0.010132827726011519
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,53,0,0,2,1,2,1.0,52.0,1.0,0.7134831,1.0,0.015974909092232634
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,54,0,0,2,0,2,1.0,53.0,0.0,0.4482537,1.0,0.014758915330012263
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,55,0,0,1,0,2,1.0,54.0,0.0,0.4929889,1.0,0.009934240517826544
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,56,0,0,1,1,2,1.0,55.0,0.0,0.5442065,0.0,0.009739545301129157
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,57,0,0,1,0,2,1.0,56.0,0.0,0.5245213,1.0,0.010335384727275678
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,58,0,0,1,1,2,1.0,57.0,0.0,0.6546221,0.0,0.010335384727275678
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,59,0,0,2,0,2,1.0,58.0,0.0,0.6511426,1.0,0.013908057440071123
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,60,0,0,1,1,2,1.0,59.0,0.0,1.3812352,0.0,0.010967676021633076
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,61,0,0,2,0,2,1.0,60.0,0.0,0.5237525,1.0,0.013368248148594363
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,62,0,0,2,1,2,1.0,61.0,0.0,0.965826,0.0,0.013106251877668104
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,63,0,0,2,0,2,1.0,62.0,0.0,0.471965,1.0,0.01535487970310756
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,64,0,0,2,1,2,1.0,63.0,1.0,0.8150628,1.0,0.014758915330012263
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,65,0,0,1,1,2,1.0,64.0,0.0,0.7924971,0.0,0.0121086173723749
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,66,0,0,1,1,2,1.0,65.0,1.0,0.8811231,1.0,0.014469664207771075
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,67,0,0,2,0,2,1.0,66.0,0.0,0.5233127,1.0,0.014186081944646352
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,68,0,0,2,1,2,1.0,67.0,1.0,0.4834052,1.0,0.013635481770871715
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,69,0,0,1,1,2,1.0,68.0,1.0,0.539601,1.0,0.013635481770871715
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,70,0,0,1,1,2,1.0,69.0,1.0,0.5032145,1.0,0.012849390314387626
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,71,0,0,2,1,2,1.0,70.0,1.0,0.6048835,1.0,0.013106251877668104
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,72,0,0,1,1,2,1.0,71.0,1.0,0.504061,1.0,0.012350670754779419
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,73,0,0,1,0,2,1.0,72.0,0.0,0.5012605,1.0,0.0121086173723749
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,74,0,0,2,0,2,1.0,73.0,0.0,0.5508781,1.0,0.012597562826699979
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,75,0,0,2,1,2,1.0,74.0,1.0,0.5476441,1.0,0.012350670754779419
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,76,0,0,2,1,2,1.0,75.0,1.0,0.5209671,1.0,0.0121086173723749
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,77,0,0,1,1,2,1.0,76.0,1.0,0.3775549,1.0,0.011871307848915111
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,78,0,0,2,1,2,1.0,77.0,1.0,0.4543681,1.0,0.011871307848915111
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,79,0,0,2,1,2,1.0,78.0,1.0,0.4471074,1.0,0.011871307848915111
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,80,0,0,1,0,2,1.0,79.0,1.0,0.5407034,0.0,0.011638649212356182
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,81,90,0,2,1,1,1.0,80.0,1.0,1.0251311,1.0,0.06016856135202387
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,82,90,0,2,1,1,1.0,81.0,0.0,0.6338879,0.0,0.02950625151774548
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,83,90,0,1,1,1,1.0,82.0,1.0,0.6462061,1.0,0.06016856135202387
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,84,90,0,1,1,1,1.0,83.0,1.0,0.4535324,1.0,0.02950625151774548
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,85,90,0,1,0,1,1.0,84.0,0.0,1.4914976,1.0,0.01566182643816842
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,86,90,0,2,1,1,1.0,85.0,0.0,0.8711095,0.0,0.11335515124769421
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,87,90,0,2,1,1,1.0,86.0,1.0,0.4663348,1.0,0.2357723306969045
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,88,90,0,2,1,1,1.0,87.0,0.0,0.6692805,0.0,0.20526784216295682
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,89,90,0,2,1,1,1.0,88.0,1.0,0.715483,1.0,0.2989817634696808
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,90,90,0,1,0,1,1.0,89.0,0.0,0.7824884,1.0,0.00899818106145444
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,91,90,0,2,0,1,1.0,90.0,1.0,0.9016289,0.0,0.27622357703508327
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,92,90,0,2,1,1,1.0,91.0,1.0,0.7413196,1.0,0.3572799097214362
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,93,90,0,2,0,1,1.0,92.0,0.0,0.544857,1.0,0.3434129109865918
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,94,90,0,2,0,1,1.0,93.0,1.0,0.8370365,0.0,0.32361500725945164
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,95,90,0,2,1,1,1.0,94.0,1.0,0.4610265,1.0,0.38671636435739903
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,96,90,0,2,1,1,1.0,95.0,1.0,0.4984272,1.0,0.3717068572752103
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,97,90,0,1,1,1,1.0,96.0,0.0,0.5944504,0.0,0.005821608284521384
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,98,90,0,2,0,1,1.0,97.0,0.0,0.4852527,1.0,0.3644219977033851
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,99,90,0,2,0,1,1.0,98.0,0.0,0.6671552,1.0,0.3434129109865918
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,100,90,0,2,0,1,1.0,99.0,1.0,0.9082476,0.0,0.32361500725945164
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,101,90,0,2,0,1,1.0,100.0,0.0,0.4668419,1.0,0.3717068572752103
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,102,90,0,2,0,1,1.0,101.0,0.0,0.5546025,1.0,0.3644219977033851
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,103,90,0,1,0,1,1.0,102.0,0.0,0.6566511,1.0,0.01729108913486021
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,104,90,0,2,1,1,1.0,103.0,1.0,0.4757341,1.0,0.3572799097214362
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,105,90,0,2,0,1,1.0,104.0,0.0,0.4350362,1.0,0.3502777952346755
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,106,90,0,1,1,1,1.0,105.0,0.0,0.5171222,0.0,0.011871307848915111
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,107,90,0,1,0,1,1.0,106.0,0.0,0.5176578,1.0,0.03193728503137525
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,108,90,0,1,0,1,1.0,107.0,0.0,0.7768059,1.0,0.021497018167919782
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,109,90,0,1,0,1,1.0,108.0,1.0,0.801816,0.0,0.0183489118882868
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,110,90,0,1,1,1,1.0,109.0,0.0,0.4947049,0.0,0.03816470335962361
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,111,90,0,1,1,1,1.0,110.0,1.0,0.6929389,1.0,0.11793242743228484
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,112,90,0,2,1,1,1.0,111.0,1.0,0.4025024,1.0,0.3366825674841127
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,113,90,0,2,0,1,1.0,112.0,0.0,0.5454944,1.0,0.3172726709880634
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,114,90,0,1,0,1,1.0,113.0,1.0,0.4973606,0.0,0.08592062375574905
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,115,90,0,1,1,1,1.0,114.0,0.0,0.6404846,0.0,0.18228250393864812
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,116,90,0,1,1,1,1.0,115.0,0.0,0.8217658,0.0,0.2931221993567684
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,117,90,0,1,1,1,1.0,116.0,1.0,0.5162554,1.0,0.3944468922240608
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,118,90,0,1,1,1,1.0,117.0,1.0,0.844648,1.0,0.3717068572752103
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,119,90,0,1,0,1,1.0,118.0,0.0,0.7779429,1.0,0.3572799097214362
Contrast Stuff,2022_Oct_14_1141,100,1200,1920,49,3,3,False,53,female,Bea,fr,120,90,0,2,0,1,1.0,119.0,0.0,1.8437526,1.0,0.30495846129566156
